name,waitTime,currentStatus,date,time,isRide
Remy's Ratatouille Adventure,65.0,OPERATING,04-01-2026,10:45,True
Advanced Training Lab,,OPERATING,04-01-2026,10:45,False
Stave Church Gallery,,OPERATING,04-01-2026,10:45,False
Turtle Talk With Crush,15.0,OPERATING,04-01-2026,10:45,True
Bruce's Shark World,,OPERATING,04-01-2026,10:45,False
Impressions de France,,CLOSED,04-01-2026,10:45,True
Journey Into Imagination With Figment,25.0,OPERATING,04-01-2026,10:45,True
Reflections of China,15.0,OPERATING,04-01-2026,10:45,True
The American Adventure,,OPERATING,04-01-2026,10:45,False
Mexico Folk Art Gallery,,OPERATING,04-01-2026,10:45,False
Spaceship Earth,35.0,OPERATING,04-01-2026,10:45,True
Test Track,90.0,OPERATING,04-01-2026,10:45,True
Kidcot Fun Stops,,OPERATING,04-01-2026,10:45,False
Living with the Land,20.0,OPERATING,04-01-2026,10:45,True
SeaBase Aquarium,,OPERATING,04-01-2026,10:45,False
"ImageWorks - The ""What If"" Labs",,OPERATING,04-01-2026,10:45,False
Gallery of Arts and History,,OPERATING,04-01-2026,10:45,False
House of the Whispering Willows,,OPERATING,04-01-2026,10:45,False
Project Tomorrow: Inventing the Wonders of the Future,,OPERATING,04-01-2026,10:45,False
"Journey of Water, Inspired by Moana",,OPERATING,04-01-2026,10:45,True
Beauty and the Beast Sing-Along,,CLOSED,04-01-2026,10:45,True
Palais du Cinéma,,OPERATING,04-01-2026,10:45,False
Bijutsu-kan Gallery,,OPERATING,04-01-2026,10:45,False
Canada Far and Wide in Circle-Vision 360,15.0,OPERATING,04-01-2026,10:45,True
Soarin' Around the World,65.0,OPERATING,04-01-2026,10:45,True
Mission: SPACE,20.0,OPERATING,04-01-2026,10:45,True
Guardians of the Galaxy: Cosmic Rewind,95.0,OPERATING,04-01-2026,10:45,True
Gran Fiesta Tour Starring The Three Caballeros,5.0,OPERATING,04-01-2026,10:45,True
Disney and Pixar Short Film Festival,,OPERATING,04-01-2026,11:00,True
The Seas with Nemo & Friends,40.0,OPERATING,04-01-2026,11:00,True
Frozen Ever After,65.0,OPERATING,04-01-2026,11:00,True
Awesome Planet,,OPERATING,04-01-2026,11:00,True
American Heritage Gallery,,OPERATING,04-01-2026,11:00,False
Remy's Ratatouille Adventure,65.0,OPERATING,04-01-2026,11:00,True
Advanced Training Lab,,OPERATING,04-01-2026,11:00,False
Stave Church Gallery,,OPERATING,04-01-2026,11:00,False
Turtle Talk With Crush,15.0,OPERATING,04-01-2026,11:00,True
Bruce's Shark World,,OPERATING,04-01-2026,11:00,False
Impressions de France,,CLOSED,04-01-2026,11:00,True
Journey Into Imagination With Figment,25.0,OPERATING,04-01-2026,11:00,True
Reflections of China,15.0,OPERATING,04-01-2026,11:00,True
The American Adventure,,OPERATING,04-01-2026,11:00,False
Mexico Folk Art Gallery,,OPERATING,04-01-2026,11:00,False
Spaceship Earth,35.0,OPERATING,04-01-2026,11:00,True
Test Track,95.0,OPERATING,04-01-2026,11:00,True
Kidcot Fun Stops,,OPERATING,04-01-2026,11:00,False
Living with the Land,20.0,OPERATING,04-01-2026,11:00,True
SeaBase Aquarium,,OPERATING,04-01-2026,11:00,False
"ImageWorks - The ""What If"" Labs",,OPERATING,04-01-2026,11:00,False
Gallery of Arts and History,,OPERATING,04-01-2026,11:00,False
House of the Whispering Willows,,OPERATING,04-01-2026,11:00,False
Project Tomorrow: Inventing the Wonders of the Future,,OPERATING,04-01-2026,11:00,False
"Journey of Water, Inspired by Moana",,OPERATING,04-01-2026,11:00,True
Beauty and the Beast Sing-Along,,CLOSED,04-01-2026,11:00,True
Palais du Cinéma,,OPERATING,04-01-2026,11:00,False
Bijutsu-kan Gallery,,OPERATING,04-01-2026,11:00,False
Canada Far and Wide in Circle-Vision 360,15.0,OPERATING,04-01-2026,11:00,True
Soarin' Around the World,75.0,OPERATING,04-01-2026,11:00,True
Mission: SPACE,25.0,OPERATING,04-01-2026,11:00,True
Guardians of the Galaxy: Cosmic Rewind,95.0,OPERATING,04-01-2026,11:00,True
Gran Fiesta Tour Starring The Three Caballeros,5.0,OPERATING,04-01-2026,11:00,True
Disney and Pixar Short Film Festival,,OPERATING,04-01-2026,11:15,True
The Seas with Nemo & Friends,40.0,OPERATING,04-01-2026,11:15,True
Frozen Ever After,65.0,OPERATING,04-01-2026,11:15,True
Awesome Planet,,OPERATING,04-01-2026,11:15,True
American Heritage Gallery,,OPERATING,04-01-2026,11:15,False
Remy's Ratatouille Adventure,65.0,OPERATING,04-01-2026,11:15,True
Advanced Training Lab,,OPERATING,04-01-2026,11:15,False
Stave Church Gallery,,OPERATING,04-01-2026,11:15,False
Turtle Talk With Crush,15.0,OPERATING,04-01-2026,11:15,True
Bruce's Shark World,,OPERATING,04-01-2026,11:15,False
Impressions de France,,CLOSED,04-01-2026,11:15,True
Journey Into Imagination With Figment,25.0,OPERATING,04-01-2026,11:15,True
Reflections of China,15.0,OPERATING,04-01-2026,11:15,True
The American Adventure,,OPERATING,04-01-2026,11:15,False
Mexico Folk Art Gallery,,OPERATING,04-01-2026,11:15,False
Spaceship Earth,35.0,OPERATING,04-01-2026,11:15,True
Test Track,105.0,OPERATING,04-01-2026,11:15,True
Kidcot Fun Stops,,OPERATING,04-01-2026,11:15,False
Living with the Land,30.0,OPERATING,04-01-2026,11:15,True
SeaBase Aquarium,,OPERATING,04-01-2026,11:15,False
"ImageWorks - The ""What If"" Labs",,OPERATING,04-01-2026,11:15,False
Gallery of Arts and History,,OPERATING,04-01-2026,11:15,False
House of the Whispering Willows,,OPERATING,04-01-2026,11:15,False
Project Tomorrow: Inventing the Wonders of the Future,,OPERATING,04-01-2026,11:15,False
"Journey of Water, Inspired by Moana",,OPERATING,04-01-2026,11:15,True
Beauty and the Beast Sing-Along,,CLOSED,04-01-2026,11:15,True
Palais du Cinéma,,OPERATING,04-01-2026,11:15,False
Bijutsu-kan Gallery,,OPERATING,04-01-2026,11:15,False
Canada Far and Wide in Circle-Vision 360,15.0,OPERATING,04-01-2026,11:15,True
Soarin' Around the World,75.0,OPERATING,04-01-2026,11:15,True
Mission: SPACE,25.0,OPERATING,04-01-2026,11:15,True
