name,waitTime,currentStatus,date,time,isRide
Rock 'n' Roller Coaster Starring Aerosmith,,CLOSED,01-04-2026,11:15,True
Millennium Falcon: Smugglers Run,65.0,OPERATING,01-04-2026,11:30,True
Walt Disney Presents,,OPERATING,01-04-2026,11:30,True
Alien Swirling Saucers,60.0,OPERATING,01-04-2026,11:30,True
Slinky Dog Dash,130.0,OPERATING,01-04-2026,11:30,True
Vacation Fun - An Original Animated Short with Mickey & Minnie,10.0,OPERATING,01-04-2026,11:30,True
Mickey & Minnie's Runaway Railway,30.0,OPERATING,01-04-2026,11:30,True
Star Wars: Rise of the Resistance,90.0,OPERATING,01-04-2026,11:30,True
The Twilight Zone Tower of Terror™,55.0,OPERATING,01-04-2026,11:30,True
Toy Story Mania!,75.0,OPERATING,01-04-2026,11:30,True
Star Tours – The Adventures Continue,35.0,OPERATING,01-04-2026,11:30,True
Rock 'n' Roller Coaster Starring Aerosmith,,CLOSED,01-04-2026,11:30,True
Millennium Falcon: Smugglers Run,55.0,OPERATING,01-04-2026,11:45,True
Walt Disney Presents,,OPERATING,01-04-2026,11:45,True
Alien Swirling Saucers,60.0,OPERATING,01-04-2026,11:45,True
Slinky Dog Dash,130.0,OPERATING,01-04-2026,11:45,True
Vacation Fun - An Original Animated Short with Mickey & Minnie,10.0,OPERATING,01-04-2026,11:45,True
Mickey & Minnie's Runaway Railway,55.0,OPERATING,01-04-2026,11:45,True
Star Wars: Rise of the Resistance,95.0,OPERATING,01-04-2026,11:45,True
The Twilight Zone Tower of Terror™,50.0,OPERATING,01-04-2026,11:45,True
Toy Story Mania!,60.0,OPERATING,01-04-2026,11:45,True
Star Tours – The Adventures Continue,35.0,OPERATING,01-04-2026,11:45,True
Rock 'n' Roller Coaster Starring Aerosmith,,CLOSED,01-04-2026,11:45,True
Millennium Falcon: Smugglers Run,85.0,OPERATING,01-04-2026,12:00,True
Walt Disney Presents,,OPERATING,01-04-2026,12:00,True
Alien Swirling Saucers,45.0,OPERATING,01-04-2026,12:00,True
